cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count,library_canonical_check,in_qm9
762737,3-fluoro-N-(2-phenylethyl)benzamide,C1=CC=C(C=C1)CCNC(=O)C2=CC(=CC=C2)F,243.281,18,15,1,1,0,1,2,O=C(NCCc1ccccc1)c1cccc(F)c1,False
740059,"3-[(3S,5S)-3,5-dimethylpiperidin-1-yl]-N-(3-methoxyphenyl)propanamide",CC1CC(CN(C1)CCC(=O)NC2=CC(=CC=C2)OC)C,290.4070000000001,21,17,2,2,0,0,1,COc1cccc(NC(=O)CCN2CC(C)CC(C)C2)c1,False
144790,ethyl 3-(trifluoromethyl)benzoate,CCOC(=O)C1=CC(=CC=C1)C(F)(F)F,218.17399999999995,15,10,2,0,0,3,1,CCOC(=O)c1cccc(C(F)(F)F)c1,False
217414,3-(1-methyl-3-prop-2-enylpyrrolidin-3-yl)phenol,CN1CCC(C1)(CC=C)C2=CC(=CC=C2)O,217.312,16,14,1,1,0,0,1,C=CCC1(c2cccc(O)c2)CCN(C)C1,False
588133,5-methylsulfanyl-1H-pyridin-2-one,CSC1=CNC(=O)C=C1,141.195,9,6,1,1,1,0,1,CSc1ccc(=O)[nH]c1,False
340840,"4-[2-amino-6-(3,4-dichlorophenyl)pyrimidin-4-yl]-6-(3,4-dichlorophenyl)pyrimidin-2-amine",C1=CC(=C(C=C1C2=CC(=NC(=N2)N)C3=NC(=NC(=C3)C4=CC(=C(C=C4)Cl)Cl)N)Cl)Cl,478.17,30,20,0,6,0,4,4,Nc1nc(-c2ccc(Cl)c(Cl)c2)cc(-c2cc(-c3ccc(Cl)c(Cl)c3)nc(N)n2)n1,False
694396,"1,3-benzothiazol-2-ylmethyl 2,3-dihydro-1,4-benzodioxine-6-carboxylate",C1COC2=C(O1)C=CC(=C2)C(=O)OCC3=NC4=CC=CC=C4S3,327.361,23,17,4,1,1,0,3,O=C(OCc1nc2ccccc2s1)c1ccc2c(c1)OCCO2,False
501609,"N-[4-oxo-2-sulfanylidene-5-[(2,4,5-trifluorophenyl)methylidene]-1,3-thiazolidin-3-yl]-1-phenylmethanesulfonamide",C1=CC=C(C=C1)CS(=O)(=O)NN2C(=O)C(=CC3=CC(=C(C=C3F)F)F)SC2=S,444.4810000000001,28,17,3,2,3,3,2,O=C1C(=Cc2cc(F)c(F)cc2F)SC(=S)N1NS(=O)(=O)Cc1ccccc1,False
551003,2-ethylhexyl 6-bromohexanoate,CCCCC(CC)COC(=O)CCCCCBr,307.27199999999993,17,14,2,0,0,1,0,CCCCC(CC)COC(=O)CCCCCBr,False
395130,"3-benzyl-6-nonyl-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole",CCCCCCCCCC1=NN2C(=NN=C2S1)CC3=CC=CC=C3,342.5120000000001,24,19,0,4,1,0,3,CCCCCCCCCc1nn2c(Cc3ccccc3)nnc2s1,False
328994,"(2,4-dichlorophenyl)-thiophen-2-ylmethanone",C1=CSC(=C1)C(=O)C2=C(C=C(C=C2)Cl)Cl,257.141,15,11,1,0,1,2,2,O=C(c1cccs1)c1ccc(Cl)cc1Cl,False
181595,"N-(3,5-dinitrophenyl)acetamide",CC(=O)NC1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],225.16,16,8,5,3,0,0,1,CC(=O)Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,False
956432,"ethyl 2-[(3,4-dimethoxyphenyl)methylamino]-4,5-dimethylthiophene-3-carboxylate",CCOC(=O)C1=C(SC(=C1C)C)NCC2=CC(=C(C=C2)OC)OC,349.4520000000001,24,18,4,1,1,0,2,CCOC(=O)c1c(NCc2ccc(OC)c(OC)c2)sc(C)c1C,False
559025,2-pentan-2-yloxyoxane,CCCC(C)OC1CCCCO1,172.26799999999994,12,10,2,0,0,0,0,CCCC(C)OC1CCCCO1,False
358956,"N-methyl-6-methylsulfonyl-1-(oxolan-2-yl)pyrazolo[3,4-d]pyrimidin-4-amine",CNC1=C2C=NN(C2=NC(=N1)S(=O)(=O)C)C3CCCO3,297.3400000000001,20,11,3,5,1,0,2,CNc1nc(S(C)(=O)=O)nc2c1cnn2C1CCCO1,False
572809,methyl 2-[5-iodo-4-(2-methoxy-2-oxoethyl)-2-methyl-1H-pyrrol-3-yl]acetate,CC1=C(C(=C(N1)I)CC(=O)OC)CC(=O)OC,351.14000000000016,17,11,4,1,0,1,1,COC(=O)Cc1c(C)[nH]c(I)c1CC(=O)OC,False
708700,"5-chloro-2-methoxy-N-(5-methyl-2,1,3-benzothiadiazol-4-yl)benzamide",CC1=C(C2=NSN=C2C=C1)NC(=O)C3=C(C=CC(=C3)Cl)OC,333.8,22,15,2,3,1,1,3,COc1ccc(Cl)cc1C(=O)Nc1c(C)ccc2nsnc12,False
